"Symbol","total","SuccessQtrs","SuccessMacd","SuccessMacdLastYear","LastYearReturn","FailureMonthsPercentile"
"MUTHOOTFIN",22,14,0.651063829787234,0.735849056603774,"0.097172045855974","-11"
"NATCOPHARM",22,13,0.617021276595745,0,"-0.310503907255447","-11"
"NBCC",22,14,0.659574468085106,0,"-0.532388663967611","-11"
"NHPC",22,10,0.442553191489362,0.113207547169811,"-0.192546608927124","-11"
"NMDC",22,10,0.323404255319149,0.0754716981132075,"-0.313364084083004","-11"
"NTPC",22,12,0.565957446808511,0.358490566037736,"-0.155765505522515","-11"
"NATIONALUM",22,10,0.425531914893617,0,"-0.232205305678132","-11"
"OBEROIRLTY",22,14,0.706382978723404,0.452830188679245,"-0.0819450333541433","-11"
"ONGC",22,12,0.31063829787234,0.188679245283019,"-0.220691503383681","-11"
"OIL",22,10,0.319148936170213,0,"-0.296955730686686","-11"
"OFSS",22,8,0.527659574468085,0.30188679245283,"-0.0882768795721399","-11"
"PIIND",22,14,0.71063829787234,0.584905660377358,"-0.100349459752374","-11"
"PNBHOUSING",11,3,0.327433628318584,0.0943396226415094,"-0.306641116761938","-11"
"PAGEIND",22,15,0.719148936170213,0.433962264150943,"0.00102726737496841","-11"
"PETRONET",22,16,0.714893617021277,0.415094339622642,"-0.124071905996215","-11"
"PFIZER",22,15,0.646808510638298,1,"0.39464493906067","-11"
"PIDILITIND",22,15,0.885106382978723,0.943396226415094,"0.230944417777778","-11"
"PEL",22,15,0.748936170212766,0.358490566037736,"-0.157776162326783","-11"
"PFC",22,9,0.438297872340426,0.641509433962264,"-0.132875642983627","-11"
"POWERGRID",22,14,0.6,0.169811320754717,"-0.00774227284329082","-11"
"PRESTIGE",22,13,0.497872340425532,0.264150943396226,"-0.303342315286089","-11"
"PGHH",22,17,0.821276595744681,0.773584905660377,"0.0431767397361478","-11"
"PNB",22,9,0.412765957446808,0.245283018867925,"-0.539911646539028","-11"
"QUESS",12,7,0.661538461538462,0.169811320754717,"-0.428138419196014","-11"
"RBLBANK",12,7,0.869918699186992,0.924528301886792,"0.128627403921569","-11"
"RECLTD",22,11,0.442553191489362,0.471698113207547,"-0.228850968264557","-11"
"RAJESHEXPO",22,15,0.625531914893617,0.30188679245283,"-0.290418800192587","-11"
"RELCAPITAL",22,9,0.378723404255319,0,"-0.617639689886487","-11"
"RELIANCE",22,13,0.842553191489362,1,"0.232481450948063","-11"
"RELINFRA",22,8,0.293617021276596,0,"-0.447830264999692","-11"
"RPOWER",22,6,0.234042553191489,0,"-0.527617492906266","-11"
"SBILIFE",7,3,0.318181818181818,0.226415094339623,"-0.145318118656183","-11"
"SRF",22,17,0.846808510638298,0.735849056603774,"0.0164955641563047","-11"
"SHREECEM",22,16,0.731914893617021,0.471698113207547,"-0.038652247748801","-11"
"SRTRANSFIN",22,13,0.468085106382979,0.0943396226415094,"-0.15847161950871","-11"
"SIEMENS",22,11,0.523404255319149,0.471698113207547,"-0.154498412671961","-11"
"SBIN",22,12,0.595744680851064,0.792452830188679,"-0.0364702435075824","-11"
"SAIL",22,9,0.442553191489362,0.113207547169811,"-0.392125136746229","-11"
"STRTECH",22,13,0.782978723404255,0.39622641509434,"-0.00136121828086671","-11"
"SPARC",22,8,0.442553191489362,0,"-0.624087950024988","-11"
"SUNPHARMA",22,9,0.242553191489362,0.39622641509434,"-0.250065309643382","-11"
"SUNTV",22,10,0.608510638297872,0,"-0.391032064128257","-11"
"SYNGENE",16,11,0.764044943820225,0.679245283018868,"0.0225427334873152","-11"
"TVSMOTOR",22,13,0.621276595744681,0,"-0.254680682293472","-11"
"TATACHEM",22,15,0.65531914893617,0.150943396226415,"-0.0265840055096419","-11"
"TCS",22,13,0.748936170212766,1,"0.431093119803778","-11"
"TATAGLOBAL",22,10,0.472340425531915,0.169811320754717,"-0.298817519312576","-11"
"TATAMTRDVR",22,7,0.268085106382979,0,"-0.61770167234904","-11"
"TATAMOTORS",22,8,0.272340425531915,0.0188679245283019,"-0.593120527465081","-11"
"TATAPOWER",22,8,0.4,0.132075471698113,"-0.209469877314053","-11"
"TATASTEEL",22,12,0.463829787234043,0.0377358490566038,"-0.242732522893709","-11"
"TECHM",22,12,0.553191489361702,0.981132075471698,"0.437388223764005","-11"
"NIACL",7,2,0.133333333333333,0.0188679245283019,"-0.411234827824494","-11"
"RAMCOCEM",22,14,0.808510638297872,0.320754716981132,"-0.179878213393143","-11"
"TITAN",22,14,0.736170212765957,0.830188679245283,"0.0921461515563918","-11"
"TORNTPHARM",22,16,0.65531914893617,0.886792452830189,"0.273976113074781","-11"
"TORNTPOWER",22,11,0.625531914893617,0.528301886792453,"-0.0812424040185688","-11"
"UPL",22,13,0.668085106382979,0.622641509433962,"0.00330797221303341","-11"
"ULTRACEMCO",22,14,0.672340425531915,0.415094339622642,"-0.0622877706197331","-11"
"UNIONBANK",22,9,0.348936170212766,0.188679245283019,"-0.407177325348958","-11"
"UBL",22,12,0.65531914893617,1,"0.298688990252041","-11"
"VGUARD",22,12,0.68936170212766,0.433962264150943,"-0.0483837580813348","-11"
"VARROC",4,0,0,0,"-1111","-11"
"VEDL",22,8,0.408510638297872,0,"-0.378706438640414","-11"
"IDEA",22,4,0.259574468085106,0,"-0.639101255404281","-11"
"VOLTAS",22,17,0.693617021276596,0.415094339622642,"-0.147083766445789","-11"
"WIPRO",22,13,0.506382978723404,0.830188679245283,"0.0451702277087664","-11"
"YESBANK",22,13,0.663829787234043,0.30188679245283,"-0.418426105212551","-11"
"ZEEL",22,12,0.680851063829787,0,"-0.177399858203042","-11"
